0,0,0,1000
0,1000,1500,1000
1500,1000,1500,0
1500,0,0,0
1281,37,1065,17
1065,17,751,102
751,102,729,167
729,167,761,281
761,281,614,502
614,502,614,502
614,502,188,657
188,657,154,710
154,710,201,755
201,755,150,848
150,848,146,911
146,911,859,902
859,902,902,844
902,844,824,728
824,728,859,693
859,693,1036,724
1036,724,1115,670
1115,670,1111,584
1111,584,1134,566
1134,566,1214,591
1214,591,1281,501
1281,501,1255,420
1255,420,1048,267
1255,422,1392,396
1392,396,1445,206
1445,206,1402,132
1402,132,1279,37
1301,296,1329,195
1329,195,1260,131
1260,131,1079,108
1079,108,846,173
846,173,894,286
894,286,705,592
705,592,312,704
312,704,355,731
355,731,307,788
307,788,737,788
737,788,702,674
702,674,806,574
806,574,979,608
979,608,1026,572
1026,572,1006,499
1006,499,1056,459
1056,459,1125,478
1125,478,926,333
926,333,915,238
915,238,986,154
986,154,1105,147
1105,147,1299,295
